Yousra Aafer,3216258
Samer Al-Kiswany,1398488637
N. Asokan,2242796835
Sepehr Assadi,35067898
Joanne Atlee,1790391
Gladimir Baranoski,3124641
Diogo Barradas,38704225
Christopher Batty,144366758
Shai Ben-David,
Shalev Ben-David,
Daniel Berry,
Therese Biedl,
Eric Blais,
Raouf Boutaba,
Yuri Boykov,
Tim Brecht,
Dan Brown,
Trevor Brown,
Peter Buhr,
Wenhu Chen,
Charles Clarke,
Richard Cleve,
Robin Cohen,
Gordon Cormack,
Khuzaima Daudjee,
Nancy Day,
Yuntian Deng,
Kimon Fountoulakis,
Mark Giesbrecht,
Michael Godfrey,
Ian Goldberg,
Sergey Gorbunov,
Maura R. Grossman,
Toshiya Hachisuka,
Mohammad Hajiabadi,
Jason Hartford,
Xi He,
Urs Hengartner,
Jesse Hoey,
Xiao Hu,
Ihab F. Ilyas,
Gautam Kamath,
Craig S. Kaplan,
Lila Kari,
Martin Karsten,
Florian Kerschbaum,
George Labahn,
Kate Larson,
Lap Chi Lau,
Edith Law,
Ondřej Lhoták,
Ming Li,
Yuying Li,
Noura Limam,
Jimmy Lin,
Sihang Liu,
Yang Lu,
Bin Ma,
Sujaya Maiyya,
Richard Mann,
Stephen Mann,
Ali José Mashtizadeh,
Shane McIntosh,
Meiyappan (Mei) Nagappan,
Pengyu Nie,
Naomi Nishimura,
Rafael Oliveira,
Jeff Orchard,
Tamer Özsu,
Pascal Poupart,
Prabhakar Ragde,
Mohammad Salahuddin,
Ken Salem,
Semih Salihoğlu,
Éric Schost,
Jeffrey Shallit,
Freda Shi,
Shlomi Steinberg,
Arne Storjohann,
Chengnian Sun,
Mina Tahmasbi Arashloo,
David Toman,
Richard Trefler,
Olga Veksler,
Daniel Vogel,
Justin Wan,
Stephen Watt,
Grant Weddell,
Bernard Wong,
Meng Xu,
Yaoliang Yu,
Hong Zhang,
Hongyang Zhang,
Yizhou Zhang,
Jian Zhao,
Victor Zhong,
